RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,BaseDate,2023-04-30,2023-06-30,2024-03-31
61905,1527,10801,zip,NY,NY,New Rochelle,"New York-Newark-Jersey City, NY-NJ-PA",Westchester County,2023-03-31,0.5,-0.2,-0.5
60970,1529,08080,zip,NJ,NJ,Sewell,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Gloucester County,2023-03-31,0.5,0.4,0.5
69060,1530,26554,zip,WV,WV,Fairmont,"Fairmont, WV",Marion County,2023-03-31,0.5,0.2,0.1
95754,1531,89015,zip,NV,NV,Henderson,"Las Vegas-Henderson-Paradise, NV",Clark County,2023-03-31,-0.5,-1.1,-0.6
74661,1532,38125,zip,TN,TN,,"Memphis, TN-MS-AR",Shelby County,2023-03-31,0.1,0.2,2.1
70847,1533,30067,zip,GA,GA,Marietta,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,2023-03-31,0.2,-0.4,2.2
67776,1534,23608,zip,VA,VA,Newport News,"Virginia Beach-Norfolk-Newport News, VA-NC",Newport News City,2023-03-31,0.1,-0.3,-0.1
66260,1535,20170,zip,VA,VA,Herndon,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax County,2023-03-31,0.0,-0.5,-0.4
94478,1536,84118,zip,UT,UT,Kearns,"Salt Lake City, UT",Salt Lake County,2023-03-31,0.1,-0.1,1.2
66211,1537,20109,zip,VA,VA,Manassas,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince William County,2023-03-31,0.3,0.1,-0.2
58973,1538,02895,zip,RI,RI,Woonsocket,"Providence-Warwick, RI-MA",Providence County,2023-03-31,0.0,-0.3,0.0
89745,1539,72758,zip,AR,AR,Rogers,"Fayetteville-Springdale-Rogers, AR",Benton County,2023-03-31,0.2,0.3,2.6
68174,1540,24502,zip,VA,VA,Lynchburg,"Lynchburg, VA",Lynchburg City,2023-03-31,0.6,0.7,1.7
95557,1541,88101,zip,NM,NM,Clovis,"Clovis, NM",Curry County,2023-03-31,-0.5,-1.0,-1.5
92516,1542,78573,zip,TX,TX,Alton,"McAllen-Edinburg-Mission, TX",Hidalgo County,2023-03-31,0.4,0.5,2.5
66745,1543,21044,zip,MD,MD,Columbia,"Baltimore-Columbia-Towson, MD",Howard County,2023-03-31,0.4,0.1,-0.4
99179,1544,97302,zip,OR,OR,Salem,"Salem, OR",Marion County,2023-03-31,0.2,0.0,1.0
78825,1545,47909,zip,IN,IN,Lafayette,"Lafayette-West Lafayette, IN",Tippecanoe County,2023-03-31,0.4,0.4,1.6
66743,1546,21042,zip,MD,MD,Ellicott City,"Baltimore-Columbia-Towson, MD",Howard County,2023-03-31,0.4,0.1,-0.3
62107,1547,11421,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2023-03-31,0.1,0.3,-0.3
70831,1548,30046,zip,GA,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,2023-03-31,-0.2,-0.5,1.8
69902,1549,28376,zip,NC,NC,Raeford,"Fayetteville, NC",Hoke County,2023-03-31,0.8,1.6,3.0
75281,1550,39401,zip,MS,MS,Hattiesburg,"Hattiesburg, MS",Forrest County,2023-03-31,0.2,-0.5,-1.9
91961,1551,77471,zip,TX,TX,Rosenberg,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,2023-03-31,-0.1,-0.7,0.2
69455,1552,27615,zip,NC,NC,Raleigh,"Raleigh-Cary, NC",Wake County,2023-03-31,0.2,-0.1,1.8
97501,1553,94010,zip,CA,CA,Hillsborough,"San Francisco-Oakland-Berkeley, CA",San Mateo County,2023-03-31,-0.2,-0.8,-1.7
73157,1554,34655,zip,FL,FL,New Port Richey,"Tampa-St. Petersburg-Clearwater, FL",Pasco County,2023-03-31,0.2,0.3,2.5
